Country,State,StateName,Region,SalesPerson,SalesManager,SalesValue,DateOfSale,YearOfSale,MonthOfSale,Season
USA,Idaho,ID,South-East,Jamal Al-Farsi,Mohammad Rahman,"4,395,203.00","Tuesday, August 16, 2011",2011,Aug,Summer
USA,New Mexico,NM,North-East,Ingrid Svensson,Elena Costa,"9,048,573.00","Tuesday, February 21, 2017",2017,Feb,Winter
USA,Georgia,GA,South-West,Miguel Fernandez,Sophia Li,"5,594,733.00","Thursday, November 12, 2020",2020,Nov,Autumn
USA,Delaware,DE,North-West,Nguyen Minh,Tariq Khan,"11,173,567.00","Friday, December 11, 2015",2015,Dec,Winter
USA,Utah,UT,West,David Kim,Sophia Li,"16,932,071.00","Saturday, June 5, 2010",2010,Jun,Summer
USA,Hawaii,HI,West,Ahmed Hassan,Mohammad Rahman,"1,426,834.00","Wednesday, October 25, 2017",2017,Oct,Autumn
USA,Virginia,VA,West,Ahmed Hassan,Sophia Li,"22,645,753.00","Monday, November 5, 2012",2012,Nov,Autumn
USA,Oregon,OR,East,Ahmed Hassan,Tariq Khan,"11,200,783.00","Saturday, September 28, 2013",2013,Sep,Autumn
USA,New Hampshire,NH,South-West,Leila Abadi,Tariq Khan,"8,982,653.00","Thursday, October 21, 2010",2010,Oct,Autumn
USA,Connecticut,CT,North-West,Jamal Al-Farsi,Mohammad Rahman,"182,488.00","Monday, May 4, 2020",2020,May,Spring
USA,Iowa,IA,South-East,Anna Nowak,Elena Costa,"4,136,622.00","Monday, September 7, 2015",2015,Sep,Autumn
USA,Indiana,IN,East,Ahmed Hassan,Mei Chen,"10,268,071.00","Thursday, September 28, 2017",2017,Sep,Autumn
USA,Michigan,MI,West,Ingrid Svensson,Mohammad Rahman,"6,756,954.00","Monday, May 20, 2013",2013,May,Spring
USA,Florida,FL,North,Priya Patel,Tariq Khan,"510,476.00","Friday, August 1, 2014",2014,Aug,Summer
USA,Maine,ME,South,David Kim,Tariq Khan,"4,911,162.00","Saturday, September 8, 2018",2018,Sep,Autumn
USA,New Mexico,NM,North,Juan Lopez,Mohammad Rahman,"4,505,138.00","Saturday, October 3, 2015",2015,Oct,Autumn
USA,Nebraska,NE,North-West,Mohammed Khan,Mohammad Rahman,"8,956,812.00","Wednesday, March 18, 2020",2020,Mar,Spring
USA,Arizona,AZ,South-West,Aisha Abubakar,Tariq Khan,"1,677,476.00","Saturday, August 11, 2018",2018,Aug,Summer
USA,Ohio,OH,North-West,Fatima Mohamed,Tariq Khan,"9,081,425.00","Friday, April 12, 2019",2019,Apr,Spring
USA,New Hampshire,NH,East,Ahmed Hassan,Sophia Li,"6,655,633.00","Tuesday, December 10, 2013",2013,Dec,Winter
USA,Oklahoma,OK,North-East,Nguyen Minh,Tariq Khan,"580,532.00","Monday, April 27, 2015",2015,Apr,Spring
USA,Minnesota,MN,North,Ingrid Svensson,Mohammad Rahman,"6,618,793.00","Friday, October 1, 2010",2010,Oct,Autumn
USA,Guam,GU,West,Nguyen Minh,Mohammad Rahman,"2,728,443.00","Sunday, February 20, 2011",2011,Feb,Winter
USA,Oklahoma,OK,East,Nguyen Minh,Mohammad Rahman,"11,891,421.00","Tuesday, July 14, 2020",2020,Jul,Summer
USA,Idaho,ID,South-East,Liu Wei,Mohammad Rahman,"19,382,871.00","Saturday, July 26, 2014",2014,Jul,Summer
USA,Virginia,VA,North-East,Maria Garcia,Elena Costa,"3,391,302.00","Wednesday, May 8, 2019",2019,May,Spring
USA,Trust Territories,TT,South,Anna Nowak,Mei Chen,"9,394,606.00","Saturday, March 2, 2019",2019,Mar,Spring
USA,Maryland,MD,South-West,Aisha Abubakar,Mei Chen,"3,907,477.00","Friday, January 14, 2011",2011,Jan,Winter
USA,Connecticut,CT,West,Anna Nowak,Mei Chen,"20,588,244.00","Tuesday, October 20, 2020",2020,Oct,Autumn
USA,Vermont,VT,South,Maria Garcia,Mohammad Rahman,"7,283,970.00","Sunday, April 26, 2015",2015,Apr,Spring
USA,Vermont,VT,West,Priya Patel,Tariq Khan,"777,523.00","Saturday, January 27, 2018",2018,Jan,Winter
USA,Wisconsin,WI,East,Liu Wei,Sophia Li,"11,204,021.00","Wednesday, March 14, 2018",2018,Mar,Spring
USA,Montana,MT,South-West,Yuki Tanaka,Mohammad Rahman,"978,506.00","Tuesday, May 8, 2012",2012,May,Spring
USA,Rhode Island,RI,North,Fatima Mohamed,Elena Costa,"1,265,185.00","Thursday, April 7, 2011",2011,Apr,Spring
USA,California,CA,South,Aisha Abubakar,Sophia Li,"4,790,052.00","Friday, June 4, 2010",2010,Jun,Summer
USA,Kentucky,KY,West,Jamal Al-Farsi,Mei Chen,"2,352,785.00","Wednesday, February 18, 2015",2015,Feb,Winter
USA,Colorado,CO,South-West,Maria Garcia,Elena Costa,"11,091,184.00","Wednesday, July 13, 2011",2011,Jul,Summer
USA,Indiana,IN,North-East,Juan Lopez,Mohammad Rahman,"2,580,310.00","Thursday, August 26, 2010",2010,Aug,Summer
USA,Montana,MT,West,Yuki Tanaka,Mei Chen,"5,494,690.00","Sunday, August 28, 2016",2016,Aug,Summer
USA,Colorado,CO,South-West,Jamal Al-Farsi,Elena Costa,"1,188,098.00","Sunday, November 11, 2018",2018,Nov,Autumn
USA,Kansas,KS,East,Anna Nowak,Mohammad Rahman,"3,102,846.00","Saturday, March 9, 2019",2019,Mar,Spring
USA,Idaho,ID,East,Jamal Al-Farsi,Tariq Khan,"2,286,525.00","Monday, July 2, 2012",2012,Jul,Summer
USA,Connecticut,CT,North-East,Marcelo Silva,Mei Chen,"4,988,982.00","Sunday, July 21, 2013",2013,Jul,Summer
USA,New Hampshire,NH,North,Ahmed Hassan,Mohammad Rahman,"10,218,499.00","Thursday, May 2, 2013",2013,May,Spring
USA,Wisconsin,WI,South,Yuki Tanaka,Mei Chen,"6,954,839.00","Saturday, October 27, 2018",2018,Oct,Autumn
USA,South Carolina,SC,South-East,Isabella Rossi,Elena Costa,"17,073,136.00","Sunday, January 26, 2020",2020,Jan,Winter
USA,Ohio,OH,North-East,Isabella Rossi,Mei Chen,"10,306,192.00","Monday, November 16, 2015",2015,Nov,Autumn
USA,Kentucky,KY,East,Nguyen Minh,Mei Chen,"765,696.00","Thursday, September 27, 2012",2012,Sep,Autumn
USA,Wisconsin,WI,South,Leila Abadi,Mei Chen,"1,606,161.00","Friday, November 13, 2015",2015,Nov,Autumn
USA,Kentucky,KY,West,Mohammed Khan,Tariq Khan,"1,643,689.00","Wednesday, December 18, 2019",2019,Dec,Winter
USA,American Samoa,AS,North-West,David Kim,Mei Chen,"5,537,629.00","Thursday, December 31, 2015",2015,Dec,Winter
USA,Georgia,GA,South,Marcelo Silva,Sophia Li,"10,624,622.00","Wednesday, May 25, 2016",2016,May,Spring
USA,Maine,ME,West,Maria Garcia,Tariq Khan,"1,413,328.00","Tuesday, November 7, 2017",2017,Nov,Autumn
USA,California,CA,South-West,Yuri Petrov,Tariq Khan,"9,672,379.00","Thursday, September 25, 2014",2014,Sep,Autumn
USA,Illinois,IL,North-West,Miguel Fernandez,Sophia Li,"1,293,469.00","Thursday, December 3, 2020",2020,Dec,Winter
USA,Ohio,OH,North,Maria Garcia,Tariq Khan,"10,748,415.00","Tuesday, May 26, 2020",2020,May,Spring
USA,Maine,ME,South,Nguyen Minh,Elena Costa,"14,388,719.00","Thursday, March 6, 2014",2014,Mar,Spring
USA,Kentucky,KY,North-West,Isabella Rossi,Mei Chen,"7,786,029.00","Wednesday, August 22, 2012",2012,Aug,Summer
USA,Washington,WA,North,Yuki Tanaka,Mohammad Rahman,"2,087,485.00","Sunday, May 26, 2013",2013,May,Spring
USA,North Dakota,ND,South-East,Ahmed Hassan,Mohammad Rahman,"5,902,823.00","Monday, March 19, 2012",2012,Mar,Spring
USA,Iowa,IA,East,Priya Patel,Mohammad Rahman,"18,254,608.00","Wednesday, July 21, 2010",2010,Jul,Summer
USA,Minnesota,MN,West,Nguyen Minh,Sophia Li,"7,552,642.00","Sunday, October 7, 2012",2012,Oct,Autumn
USA,California,CA,South,Miguel Fernandez,Tariq Khan,"2,956,579.00","Sunday, July 16, 2017",2017,Jul,Summer
USA,Connecticut,CT,South-East,Miguel Fernandez,Elena Costa,"7,653,264.00","Tuesday, October 14, 2014",2014,Oct,Autumn
USA,Trust Territories,TT,North-East,Juan Lopez,Sophia Li,"6,795,026.00","Friday, June 18, 2010",2010,Jun,Summer
USA,Georgia,GA,South,Carlos Rodriguez,Mohammad Rahman,"2,257,485.00","Saturday, February 15, 2014",2014,Feb,Winter
USA,Kentucky,KY,North-East,Miguel Fernandez,Tariq Khan,"4,278,509.00","Tuesday, August 21, 2012",2012,Aug,Summer
USA,Texas,TX,North-East,Ahmed Hassan,Mohammad Rahman,"16,354,636.00","Thursday, June 23, 2016",2016,Jun,Summer
USA,Kentucky,KY,North-West,Ingrid Svensson,Mohammad Rahman,"5,287,630.00","Sunday, June 13, 2010",2010,Jun,Summer
